----------------------------------------------------------------
        Layer (type)               Output Shape         Param #
      BatchNorm2d-95             [-1, 64, 8, 8]             128
           Conv2d-96             [-1, 64, 8, 8]          36,864
      BatchNorm2d-97             [-1, 64, 8, 8]             128
      LambdaLayer-98             [-1, 64, 8, 8]               0
       BasicBlock-99             [-1, 64, 8, 8]               0
          Conv2d-100             [-1, 64, 8, 8]          36,864
     BatchNorm2d-101             [-1, 64, 8, 8]             128
          Conv2d-102             [-1, 64, 8, 8]          36,864
     BatchNorm2d-103             [-1, 64, 8, 8]             128
      BasicBlock-104             [-1, 64, 8, 8]               0
          Conv2d-105             [-1, 64, 8, 8]          36,864
     BatchNorm2d-106             [-1, 64, 8, 8]             128
          Conv2d-107             [-1, 64, 8, 8]          36,864
     BatchNorm2d-108             [-1, 64, 8, 8]             128
      BasicBlock-109             [-1, 64, 8, 8]               0
          Conv2d-110             [-1, 64, 8, 8]          36,864
     BatchNorm2d-111             [-1, 64, 8, 8]             128
          Conv2d-112             [-1, 64, 8, 8]          36,864
     BatchNorm2d-113             [-1, 64, 8, 8]             128
      BasicBlock-114             [-1, 64, 8, 8]               0
          Conv2d-115             [-1, 64, 8, 8]          36,864
     BatchNorm2d-116             [-1, 64, 8, 8]             128
          Conv2d-117             [-1, 64, 8, 8]          36,864
     BatchNorm2d-118             [-1, 64, 8, 8]             128
      BasicBlock-119             [-1, 64, 8, 8]               0
          Conv2d-120             [-1, 64, 8, 8]          36,864
     BatchNorm2d-121             [-1, 64, 8, 8]             128
          Conv2d-122             [-1, 64, 8, 8]          36,864
     BatchNorm2d-123             [-1, 64, 8, 8]             128
      BasicBlock-124             [-1, 64, 8, 8]               0
          Conv2d-125             [-1, 64, 8, 8]          36,864
     BatchNorm2d-126             [-1, 64, 8, 8]             128
          Conv2d-127             [-1, 64, 8, 8]          36,864
     BatchNorm2d-128             [-1, 64, 8, 8]             128
      BasicBlock-129             [-1, 64, 8, 8]               0
          Conv2d-130             [-1, 64, 8, 8]          36,864
     BatchNorm2d-131             [-1, 64, 8, 8]             128
          Conv2d-132             [-1, 64, 8, 8]          36,864
     BatchNorm2d-133             [-1, 64, 8, 8]             128
      BasicBlock-134             [-1, 64, 8, 8]               0
          Conv2d-135             [-1, 64, 8, 8]          36,864
     BatchNorm2d-136             [-1, 64, 8, 8]             128
          Conv2d-137             [-1, 64, 8, 8]          36,864
     BatchNorm2d-138             [-1, 64, 8, 8]             128
      BasicBlock-139             [-1, 64, 8, 8]               0
          Linear-140                   [-1, 10]             650
================================================================
Total params: 853,018
Trainable params: 848,954
Non-trainable params: 4,064
----------------------------------------------------------------
Input size (MB): 0.01
Forward/backward pass size (MB): 10.19
Params size (MB): 3.25
Estimated Total Size (MB): 13.45
----------------------------------------------------------------
=> no checkpoint found at 'None'
Files already downloaded and verified
current lr 1.00000e-01
Epoch: [0][0/391]	Time 1.165 (1.165)	Data 0.257 (0.257)	Loss 3.5659 (3.5659)	Prec@1 11.719 (11.719)
Epoch: [0][50/391]	Time 0.126 (0.147)	Data 0.001 (0.006)	Loss 2.0347 (2.4717)	Prec@1 15.625 (17.785)
Epoch: [0][100/391]	Time 0.123 (0.139)	Data 0.001 (0.004)	Loss 1.8251 (2.1945)	Prec@1 31.250 (22.803)
Epoch: [0][150/391]	Time 0.128 (0.136)	Data 0.001 (0.003)	Loss 1.7217 (2.0532)	Prec@1 35.938 (26.283)
Epoch: [0][200/391]	Time 0.122 (0.135)	Data 0.000 (0.002)	Loss 1.7667 (1.9655)	Prec@1 32.812 (28.797)
Epoch: [0][250/391]	Time 0.133 (0.134)	Data 0.001 (0.002)	Loss 1.6716 (1.9000)	Prec@1 37.500 (30.792)
Epoch: [0][300/391]	Time 0.108 (0.131)	Data 0.000 (0.002)	Loss 1.3808 (1.8440)	Prec@1 44.531 (32.543)
Epoch: [0][350/391]	Time 0.136 (0.130)	Data 0.001 (0.002)	Loss 1.6151 (1.7973)	Prec@1 38.281 (34.139)
Test: [0/79]	Time 0.188 (0.188)	Loss 1.5773 (1.5773)	Prec@1 42.969 (42.969)
Test: [50/79]	Time 0.031 (0.036)	Loss 1.5834 (1.5627)	Prec@1 46.094 (43.735)
 * Prec@1 43.080
current lr 1.00000e-01
Epoch: [1][0/391]	Time 0.356 (0.356)	Data 0.228 (0.228)	Loss 1.3054 (1.3054)	Prec@1 46.875 (46.875)
Epoch: [1][50/391]	Time 0.124 (0.129)	Data 0.000 (0.005)	Loss 1.2890 (1.4082)	Prec@1 56.250 (47.840)
Epoch: [1][100/391]	Time 0.106 (0.128)	Data 0.001 (0.003)	Loss 1.3236 (1.4053)	Prec@1 54.688 (48.422)
Epoch: [1][150/391]	Time 0.133 (0.127)	Data 0.000 (0.002)	Loss 1.4927 (1.3829)	Prec@1 46.094 (49.105)
Epoch: [1][200/391]	Time 0.129 (0.126)	Data 0.000 (0.002)	Loss 1.2673 (1.3699)	Prec@1 52.344 (49.623)
Epoch: [1][250/391]	Time 0.119 (0.127)	Data 0.003 (0.002)	Loss 1.1496 (1.3451)	Prec@1 55.469 (50.563)
Epoch: [1][300/391]	Time 0.139 (0.128)	Data 0.001 (0.002)	Loss 1.0611 (1.3277)	Prec@1 63.281 (51.235)
Epoch: [1][350/391]	Time 0.128 (0.128)	Data 0.001 (0.001)	Loss 1.2026 (1.3127)	Prec@1 53.906 (51.867)
Test: [0/79]	Time 0.242 (0.242)	Loss 1.3546 (1.3546)	Prec@1 49.219 (49.219)
Test: [50/79]	Time 0.026 (0.040)	Loss 1.4207 (1.3180)	Prec@1 50.781 (56.633)
 * Prec@1 56.240
current lr 1.00000e-01
Epoch: [2][0/391]	Time 0.312 (0.312)	Data 0.235 (0.235)	Loss 1.1376 (1.1376)	Prec@1 60.156 (60.156)
Epoch: [2][50/391]	Time 0.112 (0.126)	Data 0.001 (0.006)	Loss 1.2189 (1.1448)	Prec@1 58.594 (59.237)
Epoch: [2][100/391]	Time 0.141 (0.124)	Data 0.001 (0.003)	Loss 1.0075 (1.1417)	Prec@1 64.062 (59.383)
Epoch: [2][150/391]	Time 0.127 (0.126)	Data 0.001 (0.002)	Loss 1.1792 (1.1378)	Prec@1 54.688 (59.447)
Epoch: [2][200/391]	Time 0.117 (0.126)	Data 0.001 (0.002)	Loss 0.9097 (1.1258)	Prec@1 70.312 (59.736)
Epoch: [2][250/391]	Time 0.142 (0.126)	Data 0.001 (0.002)	Loss 1.0307 (1.1094)	Prec@1 63.281 (60.315)
Epoch: [2][300/391]	Time 0.139 (0.127)	Data 0.000 (0.002)	Loss 1.1368 (1.1002)	Prec@1 60.156 (60.605)
Epoch: [2][350/391]	Time 0.134 (0.127)	Data 0.000 (0.002)	Loss 1.0938 (1.0866)	Prec@1 53.125 (61.062)
Test: [0/79]	Time 0.218 (0.218)	Loss 1.1152 (1.1152)	Prec@1 57.812 (57.812)
Test: [50/79]	Time 0.037 (0.038)	Loss 1.0823 (1.0439)	Prec@1 61.719 (62.286)
 * Prec@1 62.720
current lr 1.00000e-01
Epoch: [3][0/391]	Time 0.342 (0.342)	Data 0.222 (0.222)	Loss 1.0621 (1.0621)	Prec@1 59.375 (59.375)
Epoch: [3][50/391]	Time 0.130 (0.121)	Data 0.001 (0.005)	Loss 0.9340 (0.9833)	Prec@1 62.500 (65.456)
Epoch: [3][100/391]	Time 0.128 (0.126)	Data 0.000 (0.003)	Loss 0.8275 (0.9847)	Prec@1 71.094 (65.084)
Epoch: [3][150/391]	Time 0.121 (0.128)	Data 0.004 (0.002)	Loss 0.7270 (0.9718)	Prec@1 75.000 (65.501)
Epoch: [3][200/391]	Time 0.115 (0.130)	Data 0.000 (0.002)	Loss 0.9811 (0.9672)	Prec@1 65.625 (65.726)
Epoch: [3][250/391]	Time 0.127 (0.131)	Data 0.000 (0.002)	Loss 0.8819 (0.9511)	Prec@1 71.094 (66.322)
Epoch: [3][300/391]	Time 0.137 (0.129)	Data 0.000 (0.002)	Loss 0.9861 (0.9414)	Prec@1 64.062 (66.681)
Epoch: [3][350/391]	Time 0.121 (0.129)	Data 0.000 (0.002)	Loss 0.6434 (0.9354)	Prec@1 78.125 (66.963)
Test: [0/79]	Time 0.194 (0.194)	Loss 0.8176 (0.8176)	Prec@1 71.094 (71.094)
Test: [50/79]	Time 0.069 (0.073)	Loss 0.8952 (0.9336)	Prec@1 71.094 (68.122)
 * Prec@1 68.440
current lr 1.00000e-01
Epoch: [4][0/391]	Time 0.493 (0.493)	Data 0.244 (0.244)	Loss 0.8108 (0.8108)	Prec@1 71.094 (71.094)
Epoch: [4][50/391]	Time 0.256 (0.265)	Data 0.001 (0.006)	Loss 0.7409 (0.8278)	Prec@1 74.219 (71.814)
Epoch: [4][100/391]	Time 0.271 (0.267)	Data 0.010 (0.004)	Loss 0.7779 (0.8220)	Prec@1 67.969 (71.744)
Epoch: [4][150/391]	Time 0.284 (0.268)	Data 0.001 (0.003)	Loss 0.7590 (0.8187)	Prec@1 76.562 (71.740)
Epoch: [4][200/391]	Time 0.269 (0.268)	Data 0.025 (0.003)	Loss 0.6319 (0.8114)	Prec@1 78.906 (71.957)
Epoch: [4][250/391]	Time 0.276 (0.267)	Data 0.006 (0.002)	Loss 0.7927 (0.8012)	Prec@1 71.094 (72.230)
Epoch: [4][300/391]	Time 0.279 (0.267)	Data 0.006 (0.002)	Loss 0.7800 (0.8009)	Prec@1 74.219 (72.168)
Epoch: [4][350/391]	Time 0.275 (0.268)	Data 0.001 (0.002)	Loss 0.6305 (0.7983)	Prec@1 75.781 (72.204)
Test: [0/79]	Time 0.285 (0.285)	Loss 0.9573 (0.9573)	Prec@1 62.500 (62.500)
Test: [50/79]	Time 0.078 (0.076)	Loss 1.2061 (1.0100)	Prec@1 60.938 (66.238)
 * Prec@1 66.100
current lr 1.00000e-01
Epoch: [5][0/391]	Time 0.505 (0.505)	Data 0.233 (0.233)	Loss 0.7806 (0.7806)	Prec@1 76.562 (76.562)
Epoch: [5][50/391]	Time 0.266 (0.271)	Data 0.000 (0.006)	Loss 0.8292 (0.7288)	Prec@1 73.438 (74.786)
Epoch: [5][100/391]	Time 0.267 (0.266)	Data 0.001 (0.004)	Loss 0.6751 (0.7383)	Prec@1 76.562 (74.590)
Epoch: [5][150/391]	Time 0.281 (0.263)	Data 0.001 (0.003)	Loss 0.8063 (0.7383)	Prec@1 70.312 (74.457)
Epoch: [5][200/391]	Time 0.261 (0.266)	Data 0.000 (0.002)	Loss 0.6934 (0.7378)	Prec@1 72.656 (74.328)
Epoch: [5][250/391]	Time 0.250 (0.265)	Data 0.001 (0.002)	Loss 0.6686 (0.7391)	Prec@1 78.125 (74.222)
Epoch: [5][300/391]	Time 0.252 (0.263)	Data 0.001 (0.002)	Loss 0.7146 (0.7354)	Prec@1 78.125 (74.364)
Epoch: [5][350/391]	Time 0.255 (0.262)	Data 0.001 (0.002)	Loss 0.6739 (0.7317)	Prec@1 77.344 (74.437)
Test: [0/79]	Time 0.258 (0.258)	Loss 0.6596 (0.6596)	Prec@1 75.781 (75.781)
Test: [50/79]	Time 0.071 (0.075)	Loss 0.7673 (0.6761)	Prec@1 74.219 (76.808)
 * Prec@1 76.980
current lr 1.00000e-01
Epoch: [6][0/391]	Time 0.498 (0.498)	Data 0.220 (0.220)	Loss 0.7787 (0.7787)	Prec@1 73.438 (73.438)
Epoch: [6][50/391]	Time 0.264 (0.267)	Data 0.002 (0.006)	Loss 0.6553 (0.6798)	Prec@1 77.344 (75.980)
Epoch: [6][100/391]	Time 0.260 (0.267)	Data 0.001 (0.004)	Loss 0.6519 (0.6711)	Prec@1 77.344 (76.230)
Epoch: [6][150/391]	Time 0.274 (0.268)	Data 0.001 (0.004)	Loss 0.7337 (0.6679)	Prec@1 75.000 (76.480)
Epoch: [6][200/391]	Time 0.273 (0.268)	Data 0.004 (0.003)	Loss 0.7567 (0.6657)	Prec@1 68.750 (76.683)
Epoch: [6][250/391]	Time 0.255 (0.267)	Data 0.002 (0.003)	Loss 0.5397 (0.6628)	Prec@1 85.156 (76.721)
Epoch: [6][300/391]	Time 0.268 (0.266)	Data 0.014 (0.003)	Loss 0.7137 (0.6606)	Prec@1 73.438 (76.944)
Epoch: [6][350/391]	Time 0.280 (0.265)	Data 0.021 (0.003)	Loss 0.6143 (0.6586)	Prec@1 78.125 (76.997)
Test: [0/79]	Time 0.214 (0.214)	Loss 0.6105 (0.6105)	Prec@1 78.906 (78.906)
Test: [50/79]	Time 0.070 (0.074)	Loss 0.7633 (0.6709)	Prec@1 77.344 (76.976)
 * Prec@1 76.980
current lr 1.00000e-01
Epoch: [7][0/391]	Time 0.519 (0.519)	Data 0.255 (0.255)	Loss 0.5812 (0.5812)	Prec@1 80.469 (80.469)
Epoch: [7][50/391]	Time 0.261 (0.273)	Data 0.001 (0.007)	Loss 0.6767 (0.5895)	Prec@1 77.344 (80.116)
Epoch: [7][100/391]	Time 0.278 (0.268)	Data 0.001 (0.004)	Loss 0.5114 (0.5958)	Prec@1 78.906 (79.486)
Epoch: [7][150/391]	Time 0.263 (0.268)	Data 0.001 (0.003)	Loss 0.4640 (0.6010)	Prec@1 85.156 (79.206)
Epoch: [7][200/391]	Time 0.276 (0.267)	Data 0.001 (0.003)	Loss 0.5915 (0.6076)	Prec@1 75.000 (78.922)
Epoch: [7][250/391]	Time 0.267 (0.266)	Data 0.001 (0.003)	Loss 0.6698 (0.6117)	Prec@1 73.438 (78.744)
Epoch: [7][300/391]	Time 0.271 (0.265)	Data 0.001 (0.002)	Loss 0.5659 (0.6082)	Prec@1 81.250 (78.945)
Epoch: [7][350/391]	Time 0.255 (0.265)	Data 0.001 (0.002)	Loss 0.6378 (0.6081)	Prec@1 78.125 (78.989)
Test: [0/79]	Time 0.263 (0.263)	Loss 0.6884 (0.6884)	Prec@1 72.656 (72.656)
Test: [50/79]	Time 0.063 (0.075)	Loss 0.8045 (0.7565)	Prec@1 74.219 (74.571)
 * Prec@1 74.760
current lr 1.00000e-01
Epoch: [8][0/391]	Time 0.474 (0.474)	Data 0.230 (0.230)	Loss 0.6088 (0.6088)	Prec@1 78.125 (78.125)
Epoch: [8][50/391]	Time 0.276 (0.267)	Data 0.001 (0.006)	Loss 0.7903 (0.5929)	Prec@1 75.781 (79.228)
Epoch: [8][100/391]	Time 0.274 (0.265)	Data 0.001 (0.003)	Loss 0.5078 (0.5910)	Prec@1 82.031 (79.455)
Epoch: [8][150/391]	Time 0.266 (0.263)	Data 0.001 (0.003)	Loss 0.5165 (0.5888)	Prec@1 84.375 (79.656)
Epoch: [8][200/391]	Time 0.258 (0.264)	Data 0.001 (0.002)	Loss 0.5789 (0.5836)	Prec@1 78.125 (79.746)
Epoch: [8][250/391]	Time 0.279 (0.265)	Data 0.000 (0.002)	Loss 0.6141 (0.5916)	Prec@1 75.781 (79.495)
Epoch: [8][300/391]	Time 0.267 (0.265)	Data 0.001 (0.002)	Loss 0.5400 (0.5907)	Prec@1 80.469 (79.475)
Epoch: [8][350/391]	Time 0.280 (0.266)	Data 0.001 (0.002)	Loss 0.6197 (0.5926)	Prec@1 73.438 (79.396)
Test: [0/79]	Time 0.246 (0.246)	Loss 0.6964 (0.6964)	Prec@1 77.344 (77.344)
Test: [50/79]	Time 0.069 (0.075)	Loss 0.7525 (0.7638)	Prec@1 75.781 (75.567)
 * Prec@1 76.080
current lr 1.00000e-01
Epoch: [9][0/391]	Time 0.479 (0.479)	Data 0.212 (0.212)	Loss 0.4691 (0.4691)	Prec@1 86.719 (86.719)
Epoch: [9][50/391]	Time 0.274 (0.272)	Data 0.002 (0.006)	Loss 0.4380 (0.5612)	Prec@1 84.375 (80.637)
Epoch: [9][100/391]	Time 0.250 (0.264)	Data 0.003 (0.004)	Loss 0.6181 (0.5479)	Prec@1 76.562 (80.678)
Epoch: [9][150/391]	Time 0.273 (0.264)	Data 0.001 (0.003)	Loss 0.4947 (0.5541)	Prec@1 84.375 (80.603)
Epoch: [9][200/391]	Time 0.263 (0.262)	Data 0.001 (0.003)	Loss 0.5663 (0.5542)	Prec@1 81.250 (80.624)
Epoch: [9][250/391]	Time 0.252 (0.262)	Data 0.001 (0.003)	Loss 0.5756 (0.5527)	Prec@1 78.906 (80.690)
Epoch: [9][300/391]	Time 0.257 (0.262)	Data 0.001 (0.002)	Loss 0.4574 (0.5516)	Prec@1 82.031 (80.770)
Epoch: [9][350/391]	Time 0.262 (0.263)	Data 0.001 (0.002)	Loss 0.6328 (0.5474)	Prec@1 77.344 (80.996)
Test: [0/79]	Time 0.283 (0.283)	Loss 0.4688 (0.4688)	Prec@1 82.031 (82.031)
Test: [50/79]	Time 0.070 (0.075)	Loss 0.6011 (0.5931)	Prec@1 82.031 (80.270)
 * Prec@1 80.060
current lr 1.00000e-01
Epoch: [10][0/391]	Time 0.494 (0.494)	Data 0.228 (0.228)	Loss 0.3738 (0.3738)	Prec@1 88.281 (88.281)
Epoch: [10][50/391]	Time 0.260 (0.271)	Data 0.000 (0.006)	Loss 0.3924 (0.4884)	Prec@1 82.031 (82.598)
Epoch: [10][100/391]	Time 0.257 (0.263)	Data 0.003 (0.004)	Loss 0.5693 (0.5083)	Prec@1 81.250 (82.062)
Epoch: [10][150/391]	Time 0.278 (0.265)	Data 0.000 (0.003)	Loss 0.4970 (0.5124)	Prec@1 84.375 (82.016)
Epoch: [10][200/391]	Time 0.258 (0.266)	Data 0.000 (0.003)	Loss 0.5498 (0.5174)	Prec@1 82.031 (82.000)
Epoch: [10][250/391]	Time 0.270 (0.267)	Data 0.001 (0.003)	Loss 0.5492 (0.5222)	Prec@1 80.469 (81.838)
Epoch: [10][300/391]	Time 0.257 (0.266)	Data 0.003 (0.003)	Loss 0.4967 (0.5239)	Prec@1 88.281 (81.767)
Epoch: [10][350/391]	Time 0.261 (0.266)	Data 0.001 (0.003)	Loss 0.5299 (0.5270)	Prec@1 81.250 (81.711)
Test: [0/79]	Time 0.237 (0.237)	Loss 0.5062 (0.5062)	Prec@1 79.688 (79.688)
Test: [50/79]	Time 0.070 (0.074)	Loss 0.5965 (0.6128)	Prec@1 81.250 (78.631)
 * Prec@1 79.100
current lr 1.00000e-01
Epoch: [11][0/391]	Time 0.477 (0.477)	Data 0.221 (0.221)	Loss 0.6046 (0.6046)	Prec@1 82.031 (82.031)
Epoch: [11][50/391]	Time 0.265 (0.266)	Data 0.001 (0.007)	Loss 0.3576 (0.4867)	Prec@1 88.281 (83.441)
Epoch: [11][100/391]	Time 0.250 (0.264)	Data 0.001 (0.004)	Loss 0.5119 (0.4799)	Prec@1 82.031 (83.385)
Epoch: [11][150/391]	Time 0.246 (0.264)	Data 0.001 (0.003)	Loss 0.3868 (0.4934)	Prec@1 85.156 (82.988)
Epoch: [11][200/391]	Time 0.272 (0.262)	Data 0.001 (0.003)	Loss 0.4407 (0.4935)	Prec@1 82.812 (82.968)
Epoch: [11][250/391]	Time 0.269 (0.262)	Data 0.000 (0.002)	Loss 0.5880 (0.4929)	Prec@1 78.906 (83.077)
Epoch: [11][300/391]	Time 0.271 (0.263)	Data 0.000 (0.002)	Loss 0.5436 (0.4949)	Prec@1 80.469 (82.997)
Epoch: [11][350/391]	Time 0.259 (0.264)	Data 0.001 (0.002)	Loss 0.4870 (0.4967)	Prec@1 80.469 (82.890)
Test: [0/79]	Time 0.305 (0.305)	Loss 0.4853 (0.4853)	Prec@1 82.031 (82.031)
Test: [50/79]	Time 0.067 (0.074)	Loss 0.6646 (0.6313)	Prec@1 78.125 (78.998)
 * Prec@1 79.070
current lr 1.00000e-01
Epoch: [12][0/391]	Time 0.499 (0.499)	Data 0.261 (0.261)	Loss 0.3637 (0.3637)	Prec@1 87.500 (87.500)
Epoch: [12][50/391]	Time 0.257 (0.270)	Data 0.001 (0.006)	Loss 0.5410 (0.4706)	Prec@1 80.469 (83.655)
Epoch: [12][100/391]	Time 0.248 (0.263)	Data 0.001 (0.004)	Loss 0.3554 (0.4739)	Prec@1 88.281 (83.555)
Epoch: [12][150/391]	Time 0.270 (0.262)	Data 0.001 (0.003)	Loss 0.5158 (0.4795)	Prec@1 85.938 (83.423)
Epoch: [12][200/391]	Time 0.274 (0.263)	Data 0.001 (0.003)	Loss 0.4791 (0.4856)	Prec@1 83.594 (83.244)
Epoch: [12][250/391]	Time 0.265 (0.264)	Data 0.001 (0.003)	Loss 0.5683 (0.4846)	Prec@1 79.688 (83.202)
Epoch: [12][300/391]	Time 0.256 (0.264)	Data 0.001 (0.002)	Loss 0.4457 (0.4848)	Prec@1 83.594 (83.080)
Epoch: [12][350/391]	Time 0.277 (0.265)	Data 0.000 (0.002)	Loss 0.3511 (0.4809)	Prec@1 85.156 (83.240)
Test: [0/79]	Time 0.261 (0.261)	Loss 0.5818 (0.5818)	Prec@1 80.469 (80.469)
Test: [50/79]	Time 0.071 (0.071)	Loss 0.8410 (0.7003)	Prec@1 71.875 (76.762)
 * Prec@1 76.910
current lr 1.00000e-01
Epoch: [13][0/391]	Time 0.540 (0.540)	Data 0.269 (0.269)	Loss 0.7088 (0.7088)	Prec@1 76.562 (76.562)
Epoch: [13][50/391]	Time 0.278 (0.270)	Data 0.001 (0.007)	Loss 0.4353 (0.4817)	Prec@1 85.156 (82.966)
Epoch: [13][100/391]	Time 0.261 (0.269)	Data 0.008 (0.004)	Loss 0.3721 (0.4587)	Prec@1 84.375 (83.903)
Epoch: [13][150/391]	Time 0.255 (0.265)	Data 0.000 (0.003)	Loss 0.3592 (0.4580)	Prec@1 89.062 (84.121)
Epoch: [13][200/391]	Time 0.263 (0.265)	Data 0.001 (0.003)	Loss 0.3863 (0.4630)	Prec@1 85.938 (84.111)
Epoch: [13][250/391]	Time 0.250 (0.265)	Data 0.001 (0.003)	Loss 0.5818 (0.4654)	Prec@1 79.688 (84.011)
Epoch: [13][300/391]	Time 0.252 (0.265)	Data 0.001 (0.003)	Loss 0.4816 (0.4647)	Prec@1 84.375 (84.105)
Epoch: [13][350/391]	Time 0.251 (0.265)	Data 0.001 (0.003)	Loss 0.4256 (0.4660)	Prec@1 90.625 (84.041)
Test: [0/79]	Time 0.307 (0.307)	Loss 0.4614 (0.4614)	Prec@1 83.594 (83.594)
Test: [50/79]	Time 0.068 (0.076)	Loss 0.5830 (0.5614)	Prec@1 78.125 (81.281)
 * Prec@1 81.270
current lr 1.00000e-01
Epoch: [14][0/391]	Time 0.468 (0.468)	Data 0.231 (0.231)	Loss 0.4538 (0.4538)	Prec@1 82.812 (82.812)
Epoch: [14][50/391]	Time 0.282 (0.274)	Data 0.012 (0.007)	Loss 0.5082 (0.4507)	Prec@1 82.812 (84.191)
